rank,model_id,twist_deg,rise_A,score_status,observed_peak_count,expected_peak_count,missing_peak_count,score_completeness,base_rmsd,helical_rmsd,combined_rmsd,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A,notes,model_status,diffraction_status,diffraction_file,angle_deg,candidate_id,source_pdb,xyz_file,xyz_atom_count,diffraction_png,diffraction_json,radial_csv,radial_csv_exists,smoke_grid_size,smoke_grid_limit_mm,smoke_theta_count,smoke_phi_count,smoke_psi_count,smoke_theta_max,smoke_orientation_count
1,angle28_cand25,28,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand25.npy,28,cand25,inputs/asem_sidechains_20260625/raw/28/cand25/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle28_cand25.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand25.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand25.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle28_cand25_radial.csv,True,33,100,2,4,1,180,8
2,angle28_cand27,28,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand27.npy,28,cand27,inputs/asem_sidechains_20260625/raw/28/cand27/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle28_cand27.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand27.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand27.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle28_cand27_radial.csv,True,33,100,2,4,1,180,8
3,angle28_cand28,28,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand28.npy,28,cand28,inputs/asem_sidechains_20260625/raw/28/cand28/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle28_cand28.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand28.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle28_cand28.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle28_cand28_radial.csv,True,33,100,2,4,1,180,8
4,angle30_cand0,30,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand0.npy,30,cand0,inputs/asem_sidechains_20260625/raw/30/cand0/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle30_cand0.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand0.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand0.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle30_cand0_radial.csv,True,33,100,2,4,1,180,8
5,angle30_cand1,30,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand1.npy,30,cand1,inputs/asem_sidechains_20260625/raw/30/cand1/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle30_cand1.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand1.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand1.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle30_cand1_radial.csv,True,33,100,2,4,1,180,8
6,angle30_cand2,30,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand2.npy,30,cand2,inputs/asem_sidechains_20260625/raw/30/cand2/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle30_cand2.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand2.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand2.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle30_cand2_radial.csv,True,33,100,2,4,1,180,8
7,angle30_cand3,30,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand3.npy,30,cand3,inputs/asem_sidechains_20260625/raw/30/cand3/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle30_cand3.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand3.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand3.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle30_cand3_radial.csv,True,33,100,2,4,1,180,8
8,angle31_cand0,31,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand0.npy,31,cand0,inputs/asem_sidechains_20260625/raw/31/cand0/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand0.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand0.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand0.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle31_cand0_radial.csv,True,33,100,2,4,1,180,8
9,angle31_cand1,31,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand1.npy,31,cand1,inputs/asem_sidechains_20260625/raw/31/cand1/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand1.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand1.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand1.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle31_cand1_radial.csv,True,33,100,2,4,1,180,8
10,angle31_cand10,31,3.4,scored,5,5,0,1.000000000,0.007821154,0.067748391,0.060696867,3.387821154,3.830332885,4.414046366,5.744561801,7.208895339,,complete,success,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand10.npy,31,cand10,inputs/asem_sidechains_20260625/raw/31/cand10/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand10.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand10.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand10.json,outputs/asem_sidechains_20260625/stage1_screen_27_32/radial_profiles/angle31_cand10_radial.csv,True,33,100,2,4,1,180,8
