model_id,d_A,intensity
angle27_cand10,445.0130562565878,7739670527.987535
angle27_cand10,89.00503999841906,3977554330.2270355
angle27_cand10,63.5767633212819,2208397950.2916775
angle27_cand10,40.46125183167113,572625740.6731334
angle27_cand10,29.675091945324713,105617667.25277826
angle27_cand10,26.18580879442811,42967008.499665625
angle27_cand10,23.43132431885384,11136933.58214801
angle27_cand10,21.20169597173345,10860725.760811543
angle27_cand10,19.36000469388422,12488323.898894949
angle27_cand10,16.495600130686242,9093501.9085428
angle27_cand10,15.359924226752971,6997548.689853895
angle27_cand10,14.370917190024475,3873957.5934813228
angle27_cand10,13.501911881730377,2020370.599192708
angle27_cand10,12.732336504650608,1761696.8035046817
angle27_cand10,12.04606721352027,2302736.153829771
angle27_cand10,11.430287614541383,2390481.9093058934
angle27_cand10,10.874682069916327,1807624.1389248131
angle27_cand10,10.370854126698163,2593079.894449865
angle27_cand10,9.911900031281524,3030793.7952543106
angle27_cand10,9.492091133811293,3141907.1203392507
angle27_cand10,9.106634071104004,3278356.8526367857
angle27_cand10,8.751487377117718,2762174.773337871
angle27_cand10,8.423219615580143,2617653.22662659
angle27_cand10,8.118898465498383,3367071.1769254147
angle27_cand10,7.836003157088168,3616565.007930809
angle27_cand10,7.572354717345019,5420516.101434981
angle27_cand10,7.326059937798561,5249990.112677696
angle27_cand10,7.095466015075968,6699517.092012899
angle27_cand10,6.879123565515574,7341210.65184094
angle27_cand10,6.675756264029209,7569184.211171103
angle27_cand10,6.484235763162709,6858463.535909729
angle27_cand10,6.303560851188807,8089153.852547415
angle27_cand10,6.13284003626726,7523622.198891703
angle27_cand10,5.9712769171396785,8779517.18156595
angle27_cand10,5.818157833716352,7229101.424943805
angle27_cand10,5.672841393523596,7827396.674650329
angle27_cand10,5.534749549788793,7473924.8984316755
angle27_cand10,5.403359969441125,5647417.6148280045
angle27_cand10,5.278199478571246,4190273.914562905
angle27_cand10,5.158838411965753,2888553.6229933286
angle27_cand10,5.044885724502379,2270103.9220754383
angle27_cand10,4.935984747196603,1489344.518063757
angle27_cand10,4.831809490855344,1594259.3766782694
angle27_cand10,4.732061416637764,2352533.5106822453
angle27_cand10,4.636466606134514,2896164.146483406
angle27_cand10,4.54477327446784,3837898.6616891883
angle27_cand10,4.456749578865149,3603727.3117209175
angle27_cand10,4.37218168254452,3467104.070383379
angle27_cand10,4.290872039870627,3720161.12924504
angle27_cand10,4.212637873829762,2317337.824558719
angle27_cand10,4.137309821122427,2537201.3615928614
angle27_cand10,4.064730723732543,2534718.0409427974
angle27_cand10,3.99475454882572,3245399.186301008
angle27_cand10,3.927245421353911,3179905.922309827
angle27_cand10,3.862076755880224,2873658.7784431293
angle27_cand10,3.7991304759509172,2853399.706710778
angle27_cand10,3.7382963108851506,3114668.4995112293
angle27_cand10,3.6794711611707145,2897800.5323522836
angle27_cand10,3.6225585247818612,2462793.5638915976
angle27_cand10,3.5674679777034064,2631878.742738779
