file,target_omega_deg,measured_omega_proxy_deg,omega_deviation_from_180_deg,asem_n_ca_next_c_angle_deg,measured_n_ca_next_c_angle_deg,n_ca_next_c_angle_increase_from_167_deg,rmsd_to_original_A,max_displacement_to_original_A,best_backbone_hbond_distance_A,hbond_plausible_flag,min_heavy_nonbonded_distance_A,clash_count_lt_2p0,clash_count_lt_2p2,clash_count_lt_2p5,qualitative_status
1_558214_omega167.pdb,167,169.80202791045247,13.0,113.01,113.25082988165923,0.0,0.039640055951363024,0.229322916430088,2.773617493455078,False,1.4671676795785817,84,84,252,original_baseline
1_558214_omega168.pdb,168,169.80202791045247,12.0,113.81,113.67407832723842,0.7999999999999972,0.03036467268691059,0.174625313170802,2.7903954916821414,False,1.466647878667542,84,84,294,ambiguous_requires_visual_review
1_558214_omega169.pdb,169,169.80202791045247,11.0,114.62,114.23016727700772,1.6099999999999994,0.022530843707226484,0.11993748371547985,2.8075455472707875,False,1.4664780939379902,84,84,294,ambiguous_requires_visual_review
1_558214_omega170.pdb,170,169.80202791045247,10.0,115.43,115.1124293295126,2.4200000000000017,0.018092413902376144,0.06640783086354,2.825421207537032,False,1.4668626384225627,84,126,294,omega_improved_modest_angle_strain
1_558214_omega171.pdb,171,169.80202791045247,9.0,116.25,115.93327473128012,3.239999999999995,0.019324126049030856,0.08041765975207478,2.8423052263963537,False,1.4665159392246645,84,126,294,omega_improved_modest_angle_strain
1_558214_omega172.pdb,172,169.80202791045247,8.0,117.08,116.81392860529971,4.069999999999993,0.025567887964733534,0.10282023147221828,2.860622484705039,False,1.466853435077957,84,126,294,likely_best_compromise
1_558214_omega173.pdb,173,169.80202791045247,7.0,117.91,117.65676807275356,4.8999999999999915,0.03405239872312564,0.12481185841097003,2.8776082082173757,False,1.466559920357842,84,126,294,omega_improved_modest_angle_strain
1_558214_omega174.pdb,174,169.80202791045247,6.0,118.75,118.5128215699861,5.739999999999995,0.04353533743869392,0.1595524991969749,2.895868090918511,False,1.4668050313521561,84,126,294,omega_improved_high_angle_strain
1_558214_omega175.pdb,175,169.80202791045247,5.0,119.59,119.3541652919387,6.579999999999998,0.0534303297809284,0.21373815756668252,2.912927393533861,False,1.4663560277095053,84,126,294,omega_improved_high_angle_strain
1_558214_omega176.pdb,176,169.80202791045247,4.0,120.43,120.18147651965849,7.420000000000002,0.06353844367844574,0.2678227025477874,2.930566839367425,False,1.4663219291819922,84,126,294,omega_improved_high_angle_strain
1_558214_omega177.pdb,177,169.80202791045247,3.0,121.28,121.03963211937835,8.269999999999996,0.07378079152770395,0.32272124194109153,3.7087720339756642,False,1.4668268473136148,84,126,294,hbond_degraded
1_558214_omega178.pdb,178,169.80202791045247,2.0,122.13,121.86505526668613,9.11999999999999,0.08409378911104566,0.3768142778611266,3.7087720339756642,False,1.4667903735708112,84,126,294,hbond_degraded
1_558214_omega179.pdb,179,169.80202791045247,1.0,122.99,122.72135121468034,9.97999999999999,0.0944658025258682,0.43089325824384933,3.7087720339756642,False,1.4662936268019444,84,126,294,hbond_degraded
1_558214_omega180.pdb,180,169.80202791045247,0.0,123.85,123.5649277481736,10.83999999999999,0.10485156350197775,0.4843077533965384,3.7087720339756642,False,1.4671063356144294,84,126,294,hbond_degraded
