structure_id,distance_window,window_type,chain_relation,backbone_involving,pair_count,fraction_of_window
central6,3p0,known,same_chain,yes,18,1.000000
central6,3p4,known,interchain,no,60,0.363636
central6,3p4,known,interchain,yes,15,0.090909
central6,3p4,known,same_chain,no,30,0.181818
central6,3p4,known,same_chain,yes,60,0.363636
central6,4p5_5p0,known,interchain,no,816,0.356955
central6,4p5_5p0,known,interchain,yes,222,0.097113
central6,4p5_5p0,known,same_chain,no,585,0.255906
central6,4p5_5p0,known,same_chain,yes,663,0.290026
central6,guessed_5p0_6p0,exploratory_guessed,interchain,no,1788,0.313245
central6,guessed_5p0_6p0,exploratory_guessed,interchain,yes,1281,0.224422
central6,guessed_5p0_6p0,exploratory_guessed,same_chain,no,1074,0.188157
central6,guessed_5p0_6p0,exploratory_guessed,same_chain,yes,1565,0.274177
central6,guessed_6p5_7p5,exploratory_guessed,interchain,no,4056,0.394745
central6,guessed_6p5_7p5,exploratory_guessed,interchain,yes,3463,0.337032
central6,guessed_6p5_7p5,exploratory_guessed,same_chain,no,836,0.081363
central6,guessed_6p5_7p5,exploratory_guessed,same_chain,yes,1920,0.186861
central6,guessed_7p8_9p0,exploratory_guessed,interchain,no,5253,0.344889
central6,guessed_7p8_9p0,exploratory_guessed,interchain,yes,5939,0.389928
central6,guessed_7p8_9p0,exploratory_guessed,same_chain,no,1818,0.119362
central6,guessed_7p8_9p0,exploratory_guessed,same_chain,yes,2221,0.145821
central7,3p0,known,same_chain,yes,21,1.000000
central7,3p4,known,interchain,no,72,0.358209
central7,3p4,known,interchain,yes,21,0.104478
central7,3p4,known,same_chain,no,36,0.179104
central7,3p4,known,same_chain,yes,72,0.358209
central7,4p5_5p0,known,interchain,no,1020,0.362216
central7,4p5_5p0,known,interchain,yes,306,0.108665
central7,4p5_5p0,known,same_chain,no,702,0.249290
central7,4p5_5p0,known,same_chain,yes,788,0.279830
central7,guessed_5p0_6p0,exploratory_guessed,interchain,no,2286,0.320572
central7,guessed_5p0_6p0,exploratory_guessed,interchain,yes,1695,0.237695
central7,guessed_5p0_6p0,exploratory_guessed,same_chain,no,1287,0.180480
central7,guessed_5p0_6p0,exploratory_guessed,same_chain,yes,1863,0.261254
central7,guessed_6p5_7p5,exploratory_guessed,interchain,no,5097,0.404460
central7,guessed_6p5_7p5,exploratory_guessed,interchain,yes,4209,0.333995
central7,guessed_6p5_7p5,exploratory_guessed,same_chain,no,1004,0.079670
central7,guessed_6p5_7p5,exploratory_guessed,same_chain,yes,2292,0.181876
central7,guessed_7p8_9p0,exploratory_guessed,interchain,no,6423,0.346758
central7,guessed_7p8_9p0,exploratory_guessed,interchain,yes,7224,0.390002
central7,guessed_7p8_9p0,exploratory_guessed,same_chain,no,2208,0.119203
central7,guessed_7p8_9p0,exploratory_guessed,same_chain,yes,2668,0.144037
full,3p0,known,same_chain,yes,45,1.000000
full,3p4,known,interchain,no,168,0.361290
full,3p4,known,interchain,yes,45,0.096774
full,3p4,known,same_chain,no,84,0.180645
full,3p4,known,same_chain,yes,168,0.361290
full,4p5_5p0,known,interchain,no,2316,0.359237
full,4p5_5p0,known,interchain,yes,693,0.107492
full,4p5_5p0,known,same_chain,no,1638,0.254072
full,4p5_5p0,known,same_chain,yes,1800,0.279200
full,guessed_5p0_6p0,exploratory_guessed,interchain,no,5190,0.316772
full,guessed_5p0_6p0,exploratory_guessed,interchain,yes,3951,0.241150
full,guessed_5p0_6p0,exploratory_guessed,same_chain,no,2991,0.182556
full,guessed_5p0_6p0,exploratory_guessed,same_chain,yes,4252,0.259521
full,guessed_6p5_7p5,exploratory_guessed,interchain,no,12336,0.408951
full,guessed_6p5_7p5,exploratory_guessed,interchain,yes,10189,0.337776
full,guessed_6p5_7p5,exploratory_guessed,same_chain,no,2351,0.077938
full,guessed_6p5_7p5,exploratory_guessed,same_chain,yes,5289,0.175336
full,guessed_7p8_9p0,exploratory_guessed,interchain,no,15396,0.345411
full,guessed_7p8_9p0,exploratory_guessed,interchain,yes,17590,0.394634
full,guessed_7p8_9p0,exploratory_guessed,same_chain,no,5322,0.119400
full,guessed_7p8_9p0,exploratory_guessed,same_chain,yes,6265,0.140556
