bin_start_A,bin_end_A,pair_count
0.000000,0.100000,0
0.100000,0.200000,0
0.200000,0.300000,0
0.300000,0.400000,0
0.400000,0.500000,0
0.500000,0.600000,0
0.600000,0.700000,0
0.700000,0.800000,0
0.800000,0.900000,0
0.900000,1.000000,0
1.000000,1.100000,540
1.100000,1.200000,0
1.200000,1.300000,276
1.300000,1.400000,0
1.400000,1.500000,90
1.500000,1.600000,360
1.600000,1.700000,0
1.700000,1.800000,180
1.800000,1.900000,0
1.900000,2.000000,0
2.000000,2.100000,90
2.100000,2.200000,996
2.200000,2.300000,90
2.300000,2.400000,276
2.400000,2.500000,900
2.500000,2.600000,366
2.600000,2.700000,183
2.700000,2.800000,717
2.800000,2.900000,270
2.900000,3.000000,450
3.000000,3.100000,450
3.100000,3.200000,276
3.200000,3.300000,456
3.300000,3.400000,135
3.400000,3.500000,96
3.500000,3.600000,186
3.600000,3.700000,96
3.700000,3.800000,186
3.800000,3.900000,357
3.900000,4.000000,45
4.000000,4.100000,270
4.100000,4.200000,222
4.200000,4.300000,450
4.300000,4.400000,78
4.400000,4.500000,264
4.500000,4.600000,441
4.600000,4.700000,345
4.700000,4.800000,651
4.800000,4.900000,360
4.900000,5.000000,189
5.000000,5.100000,90
5.100000,5.200000,348
5.200000,5.300000,777
5.300000,5.400000,603
5.400000,5.500000,117
5.500000,5.600000,432
5.600000,5.700000,547
5.700000,5.800000,811
5.800000,5.900000,457
5.900000,6.000000,689
6.000000,6.100000,550
6.100000,6.200000,870
6.200000,6.300000,1003
6.300000,6.400000,748
6.400000,6.500000,826
6.500000,6.600000,438
6.600000,6.700000,1224
6.700000,6.800000,1091
6.800000,6.900000,800
6.900000,7.000000,1121
7.000000,7.100000,1094
7.100000,7.200000,1249
7.200000,7.300000,978
7.300000,7.400000,711
7.400000,7.500000,718
7.500000,7.600000,980
7.600000,7.700000,966
7.700000,7.800000,870
7.800000,7.900000,1214
7.900000,8.000000,1243
8.000000,8.100000,1637
8.100000,8.200000,1310
8.200000,8.300000,1197
8.300000,8.400000,1195
8.400000,8.500000,1195
8.500000,8.600000,1061
8.600000,8.700000,1205
8.700000,8.800000,1362
8.800000,8.900000,1677
8.900000,9.000000,1151
9.000000,9.100000,1125
9.100000,9.200000,1512
9.200000,9.300000,1425
9.300000,9.400000,978
9.400000,9.500000,899
9.500000,9.600000,1306
9.600000,9.700000,1266
9.700000,9.800000,966
9.800000,9.900000,1074
9.900000,10.000000,809
10.000000,10.100000,1288
10.100000,10.200000,1146
10.200000,10.300000,1368
10.300000,10.400000,861
10.400000,10.500000,1725
10.500000,10.600000,1264
10.600000,10.700000,1404
10.700000,10.800000,1464
10.800000,10.900000,1251
10.900000,11.000000,1484
11.000000,11.100000,1675
11.100000,11.200000,1037
11.200000,11.300000,1597
11.300000,11.400000,768
11.400000,11.500000,845
11.500000,11.600000,1329
11.600000,11.700000,977
11.700000,11.800000,1157
11.800000,11.900000,1154
11.900000,12.000000,1021
12.000000,12.100000,1261
12.100000,12.200000,1285
12.200000,12.300000,1131
12.300000,12.400000,1065
12.400000,12.500000,1272
12.500000,12.600000,1878
12.600000,12.700000,1971
12.700000,12.800000,1698
12.800000,12.900000,1325
12.900000,13.000000,894
13.000000,13.100000,1806
13.100000,13.200000,1309
13.200000,13.300000,1677
13.300000,13.400000,1112
13.400000,13.500000,815
13.500000,13.600000,1977
13.600000,13.700000,2245
13.700000,13.800000,1402
13.800000,13.900000,1320
13.900000,14.000000,1686
14.000000,14.100000,1176
