q_Ainv,d_A,intensity
0.200000,31.415927,317006.357727
0.210000,29.919930,229364.351432
0.220000,28.559933,160759.157871
0.230000,27.318197,108819.226319
0.240000,26.179939,71041.785017
0.250000,25.132741,44920.444071
0.260000,24.166097,28053.626369
0.270000,23.271057,18230.559392
0.280000,22.439948,13493.341154
0.290000,21.666156,12175.251577
0.300000,20.943951,12916.914656
0.310000,20.268340,14663.053048
0.320000,19.634954,16643.372414
0.330000,19.039955,18341.555737
0.340000,18.479957,19456.454142
0.350000,17.951958,19859.370024
0.360000,17.453293,19550.897443
0.370000,16.981582,18620.181694
0.380000,16.534698,17208.755795
0.390000,16.110732,15480.375434
0.400000,15.707963,13597.566514
0.410000,15.324842,11704.970110
0.420000,14.959965,9919.053582
0.430000,14.612059,8323.374036
0.440000,14.279967,6968.337179
0.450000,13.962634,5874.284544
0.460000,13.659098,5036.748399
0.470000,13.368479,4432.813299
0.480000,13.089969,4027.689160
0.490000,12.822827,3780.805364
0.500000,12.566371,3650.953079
0.510000,12.319971,3600.211832
0.520000,12.083049,3596.579718
0.530000,11.855067,3615.373474
0.540000,11.635528,3639.569458
0.550000,11.423973,3659.319172
0.560000,11.219974,3670.896830
0.570000,11.023132,3675.328472
0.580000,10.833078,3676.920356
0.590000,10.649467,3681.857842
0.600000,10.471976,3696.993046
0.610000,10.300304,3728.887382
0.620000,10.134170,3783.129275
0.630000,9.973310,3863.911375
0.640000,9.817477,3973.827303
0.650000,9.666439,4113.835294
0.660000,9.519978,4283.333787
0.670000,9.377889,4480.299839
0.680000,9.239978,4701.452470
0.690000,9.106066,4942.416853
0.700000,8.975979,5197.879136
0.710000,8.849557,5461.733507
0.720000,8.726646,5727.231507
0.730000,8.607103,5987.147788
0.740000,8.490791,6233.976543
0.750000,8.377580,6460.169084
0.760000,8.267349,6658.416605
0.770000,8.159981,6821.974081
0.780000,8.055366,6945.012960
0.790000,7.953399,7022.982861
0.800000,7.853982,7052.956974
0.810000,7.757019,7033.932989
0.820000,7.662421,6967.061417
0.830000,7.570103,6855.776267
0.840000,7.479983,6705.808691
0.850000,7.391983,6525.072032
0.860000,7.306029,6323.415772
0.870000,7.222052,6112.255388
0.880000,7.139983,5904.094268
0.890000,7.059759,5711.961726
0.900000,6.981317,5548.797276
0.910000,6.904599,5426.815178
0.920000,6.829549,5356.884663
0.930000,6.756113,5347.960222
0.940000,6.684240,5406.593056
0.950000,6.613879,5536.549644
0.960000,6.544985,5738.556921
0.970000,6.477511,6010.186158
0.980000,6.411414,6345.880080
0.990000,6.346652,6737.120340
1.000000,6.283185,7172.725754
1.010000,6.220976,7639.265949
1.020000,6.159986,8121.570576
1.030000,6.100180,8603.310939
1.040000,6.041524,9067.628967
1.050000,5.983986,9497.787687
1.060000,5.927533,9877.817591
1.070000,5.872136,10193.134495
1.080000,5.817764,10431.106253
1.090000,5.764390,10581.548062
1.100000,5.711987,10637.128801
1.110000,5.660527,10593.673836
1.120000,5.609987,10450.352969
1.130000,5.560341,10209.745644
1.140000,5.511566,9877.779195
1.150000,5.463639,9463.539805
1.160000,5.416539,8978.960022
1.170000,5.370244,8438.390997
1.180000,5.324733,7858.072170
1.190000,5.279988,7255.515654
1.200000,5.235988,6648.826982
1.210000,5.192715,6055.987943
1.220000,5.150152,5494.130566
1.230000,5.108281,4978.833774
1.240000,5.067085,4523.475365
1.250000,5.026548,4138.671561
1.260000,4.986655,3831.834276
1.270000,4.947390,3606.872180
1.280000,4.908739,3464.055789
1.290000,4.870686,3400.059206
1.300000,4.833219,3408.182139
1.310000,4.796325,3478.745837
1.320000,4.759989,3599.646277
1.330000,4.724199,3757.037856
1.340000,4.688944,3936.111839
1.350000,4.654211,4121.926530
1.360000,4.619989,4300.241228
1.370000,4.586267,4458.304073
1.380000,4.553033,4585.545165
1.390000,4.520277,4674.130972
1.400000,4.487990,4719.343937
1.410000,4.456160,4719.761893
1.420000,4.424778,4677.224784
1.430000,4.393836,4596.590406
1.440000,4.363323,4485.295459
1.450000,4.333231,4352.751978
1.460000,4.303552,4209.621253
1.470000,4.274276,4067.016509
1.480000,4.245395,3935.691326
1.490000,4.216903,3825.272223
1.500000,4.188790,3743.591079
1.510000,4.161050,3696.165915
1.520000,4.133675,3685.867732
1.530000,4.106657,3712.797130
1.540000,4.079990,3774.378500
1.550000,4.053668,3865.662816
1.560000,4.027683,3979.813807
1.570000,4.002029,4108.737842
