q_Ainv,d_A,intensity
0.200000,31.415927,133112.727207
0.210000,29.919930,110643.037496
0.220000,28.559933,90853.613292
0.230000,27.318197,73507.578446
0.240000,26.179939,58524.094312
0.250000,25.132741,45862.244533
0.260000,24.166097,35441.182757
0.270000,23.271057,27101.282149
0.280000,22.439948,20602.095571
0.290000,21.666156,15646.783777
0.300000,20.943951,11919.899040
0.310000,20.268340,9125.871570
0.320000,19.634954,7018.487046
0.330000,19.039955,5415.968211
0.340000,18.479957,4200.813307
0.350000,17.951958,3307.305547
0.360000,17.453293,2701.942942
0.370000,16.981582,2362.716541
0.380000,16.534698,2262.350652
0.390000,16.110732,2358.765688
0.400000,15.707963,2593.733223
0.410000,15.324842,2898.557814
0.420000,14.959965,3204.101694
0.430000,14.612059,3451.815672
0.440000,14.279967,3602.669011
0.450000,13.962634,3641.798742
0.460000,13.659098,3578.011160
0.470000,13.368479,3438.609987
0.480000,13.089969,3261.085076
0.490000,12.822827,3083.767186
0.500000,12.566371,2937.570539
0.510000,12.319971,2840.472205
0.520000,12.083049,2795.584073
0.530000,11.855067,2792.778537
0.540000,11.635528,2813.047762
0.550000,11.423973,2834.271098
0.560000,11.219974,2836.916550
0.570000,11.023132,2808.400844
0.580000,10.833078,2745.292378
0.590000,10.649467,2653.127751
0.600000,10.471976,2544.178964
0.610000,10.300304,2433.930160
0.620000,10.134170,2337.222738
0.630000,9.973310,2264.987513
0.640000,9.817477,2222.240164
0.650000,9.666439,2207.650022
0.660000,9.519978,2214.599257
0.670000,9.377889,2233.321183
0.680000,9.239978,2253.508907
0.690000,9.106066,2266.747967
0.700000,8.975979,2268.239022
0.710000,8.849557,2257.496711
0.720000,8.726646,2237.976931
0.730000,8.607103,2215.832242
0.740000,8.490791,2198.170233
0.750000,8.377580,2191.261122
0.760000,8.267349,2199.103355
0.770000,8.159981,2222.629583
0.780000,8.055366,2259.657775
0.790000,7.953399,2305.509157
0.800000,7.853982,2354.068912
0.810000,7.757019,2398.987600
0.820000,7.662421,2434.723620
0.830000,7.570103,2457.202638
0.840000,7.479983,2463.994941
0.850000,7.391983,2454.052154
0.860000,7.306029,2427.164586
0.870000,7.222052,2383.370049
0.880000,7.139983,2322.548050
0.890000,7.059759,2244.370107
0.900000,6.981317,2148.664599
0.910000,6.904599,2036.122142
0.920000,6.829549,1909.149601
0.930000,6.756113,1772.608959
0.940000,6.684240,1634.172167
0.950000,6.613879,1504.089523
0.960000,6.544985,1394.294284
0.970000,6.477511,1316.922191
0.980000,6.411414,1282.475078
0.990000,6.346652,1297.965891
1.000000,6.283185,1365.420468
1.010000,6.220976,1481.066828
1.020000,6.159986,1635.422121
1.030000,6.100180,1814.315272
1.040000,6.041524,2000.696781
1.050000,5.983986,2176.927172
1.060000,5.927533,2327.138016
1.070000,5.872136,2439.246105
1.080000,5.817764,2506.275288
1.090000,5.764390,2526.784918
1.100000,5.711987,2504.386416
1.110000,5.660527,2446.509418
1.120000,5.609987,2362.717054
1.130000,5.560341,2262.937164
1.140000,5.511566,2155.960587
1.150000,5.463639,2048.466515
1.160000,5.416539,1944.692682
1.170000,5.370244,1846.710390
1.180000,5.324733,1755.128806
1.190000,5.279988,1669.970477
1.200000,5.235988,1591.447480
1.210000,5.192715,1520.424241
1.220000,5.150152,1458.460849
1.230000,5.108281,1407.459777
1.240000,5.067085,1369.054812
1.250000,5.026548,1343.953719
1.260000,4.986655,1331.457597
1.270000,4.947390,1329.328072
1.280000,4.908739,1334.073313
1.290000,4.870686,1341.602578
1.300000,4.833219,1348.089667
1.310000,4.796325,1350.818132
1.320000,4.759989,1348.774528
1.330000,4.724199,1342.813557
1.340000,4.688944,1335.327078
1.350000,4.654211,1329.480221
1.360000,4.619989,1328.198135
1.370000,4.586267,1333.164110
1.380000,4.553033,1344.101711
1.390000,4.520277,1358.554637
1.400000,4.487990,1372.260214
