q_Ainv,d_A,intensity
0.200000,31.415927,124339.246224
0.210000,29.919930,105570.835946
0.220000,28.559933,88622.303949
0.230000,27.318197,73403.173747
0.240000,26.179939,59938.720758
0.250000,25.132741,48280.029828
0.260000,24.166097,38439.415850
0.270000,23.271057,30356.168637
0.280000,22.439948,23890.854994
0.290000,21.666156,18841.432415
0.300000,20.943951,14971.797794
0.310000,20.268340,12043.161642
0.320000,19.634954,9840.382535
0.330000,19.039955,8188.381953
0.340000,18.479957,6957.131980
0.350000,17.951958,6056.686556
0.360000,17.453293,5425.750798
0.370000,16.981582,5018.093618
0.380000,16.534698,4790.753796
0.390000,16.110732,4696.762852
0.400000,15.707963,4683.446471
0.410000,15.324842,4695.731457
0.420000,14.959965,4682.657435
0.430000,14.612059,4604.698660
0.440000,14.279967,4439.586819
0.450000,13.962634,4184.972062
0.460000,13.659098,3857.234692
0.470000,13.368479,3486.787983
0.480000,13.089969,3111.043000
0.490000,12.822827,2766.667674
0.500000,12.566371,2482.801362
0.510000,12.319971,2276.527203
0.520000,12.083049,2151.286044
0.530000,11.855067,2098.209144
0.540000,11.635528,2099.723100
0.550000,11.423973,2134.370249
0.560000,11.219974,2181.658067
0.570000,11.023132,2225.897265
0.580000,10.833078,2258.344821
0.590000,10.649467,2277.430508
0.600000,10.471976,2287.298384
0.610000,10.300304,2295.239237
0.620000,10.134170,2308.763251
0.630000,9.973310,2333.046839
0.640000,9.817477,2369.310118
0.650000,9.666439,2414.400771
0.660000,9.519978,2461.550693
0.670000,9.377889,2502.005968
0.680000,9.239978,2527.062327
0.690000,9.106066,2529.993943
0.700000,8.975979,2507.439116
0.710000,8.849557,2459.972549
0.720000,8.726646,2391.803717
0.730000,8.607103,2309.743184
0.740000,8.490791,2221.729012
0.750000,8.377580,2135.275166
0.760000,8.267349,2056.184940
0.770000,8.159981,1987.777558
0.780000,8.055366,1930.733529
0.790000,7.953399,1883.511066
0.800000,7.853982,1843.158245
0.810000,7.757019,1806.271419
0.820000,7.662421,1769.843295
0.830000,7.570103,1731.800953
0.840000,7.479983,1691.137008
0.850000,7.391983,1647.657840
0.860000,7.306029,1601.480229
0.870000,7.222052,1552.474733
0.880000,7.139983,1499.864685
0.890000,7.059759,1442.141814
0.900000,6.981317,1377.366068
0.910000,6.904599,1303.802572
0.920000,6.829549,1220.742509
0.930000,6.756113,1129.285190
0.940000,6.684240,1032.844943
0.950000,6.613879,937.194410
0.960000,6.544985,849.955891
0.970000,6.477511,779.581688
0.980000,6.411414,733.992186
0.990000,6.346652,719.135399
1.000000,6.283185,737.769393
1.010000,6.220976,788.738308
1.020000,6.159986,866.918327
1.030000,6.100180,963.872321
1.040000,6.041524,1069.101742
1.050000,5.983986,1171.656270
1.060000,5.927533,1261.785429
1.070000,5.872136,1332.309729
1.080000,5.817764,1379.453615
1.090000,5.764390,1403.003338
1.100000,5.711987,1405.801723
1.110000,5.660527,1392.733812
1.120000,5.609987,1369.459868
1.130000,5.560341,1341.192100
1.140000,5.511566,1311.781104
1.150000,5.463639,1283.286549
1.160000,5.416539,1256.077979
1.170000,5.370244,1229.378079
1.180000,5.324733,1202.055345
1.190000,5.279988,1173.421082
1.200000,5.235988,1143.798548
1.210000,5.192715,1114.704932
1.220000,5.150152,1088.599624
1.230000,5.108281,1068.275082
1.240000,5.067085,1056.067331
1.250000,5.026548,1053.115541
1.260000,4.986655,1058.890613
1.270000,4.947390,1071.143608
1.280000,4.908739,1086.313869
1.290000,4.870686,1100.312678
1.300000,4.833219,1109.493427
1.310000,4.796325,1111.561472
1.320000,4.759989,1106.182106
1.330000,4.724199,1095.113638
1.340000,4.688944,1081.808425
1.350000,4.654211,1070.559438
1.360000,4.619989,1065.389814
1.370000,4.586267,1068.956928
1.380000,4.553033,1081.750698
1.390000,4.520277,1101.803901
1.400000,4.487990,1125.013425
1.410000,4.456160,1146.023191
1.420000,4.424778,1159.477721
1.430000,4.393836,1161.354995
1.440000,4.363323,1150.054558
1.450000,4.333231,1126.962043
1.460000,4.303552,1096.326215
1.470000,4.274276,1064.444022
1.480000,4.245395,1038.316103
1.490000,4.216903,1024.069902
1.500000,4.188790,1025.516473
1.510000,4.161050,1043.191226
1.520000,4.133675,1074.128674
1.530000,4.106657,1112.457052
1.540000,4.079990,1150.706684
1.550000,4.053668,1181.550281
1.560000,4.027683,1199.576003
1.570000,4.002029,1202.665394
1.580000,3.976700,1192.619139
1.590000,3.951689,1174.832564
1.600000,3.926991,1157.037730
1.610000,3.902600,1147.353342
1.620000,3.878509,1152.066689
1.630000,3.854715,1173.669459
1.640000,3.831211,1209.654222
1.650000,3.807991,1252.447292
1.660000,3.785051,1290.628122
1.670000,3.762386,1311.309096
1.680000,3.739991,1303.279055
1.690000,3.717861,1260.307767
1.700000,3.695991,1183.914234
1.710000,3.674377,1084.945969
1.720000,3.653015,983.498033
1.730000,3.631899,906.990476
1.740000,3.611026,886.568302
1.750000,3.590392,952.323307
1.760000,3.569992,1128.095842
1.770000,3.549822,1426.743382
1.780000,3.529879,1846.732085
1.790000,3.510159,2370.717883
1.800000,3.490659,2966.466210
1.810000,3.471373,3590.070092
1.820000,3.452300,4191.035558
1.830000,3.433435,4718.482161
1.840000,3.414775,5127.513462
1.850000,3.396316,5384.782155
1.860000,3.378057,5472.411540
1.870000,3.359992,5389.712858
1.880000,3.342120,5152.505069
1.890000,3.324437,4790.232994
1.900000,3.306940,4341.422560
1.910000,3.289626,3848.249669
1.920000,3.272492,3351.094881
1.930000,3.255536,2883.899895
1.940000,3.238755,2470.951763
1.950000,3.222146,2125.438433
1.960000,3.205707,1849.800267
1.970000,3.189434,1637.605614
1.980000,3.173326,1476.455112
1.990000,3.157380,1351.303047
2.000000,3.141593,1247.586192
2.010000,3.125963,1153.659996
2.020000,3.110488,1062.228407
2.030000,3.095165,970.675197
2.040000,3.079993,880.416772
2.050000,3.064968,795.560493
2.060000,3.050090,721.242971
2.070000,3.035355,662.030710
2.080000,3.020762,620.698866
2.090000,3.006309,597.584330
2.100000,2.991993,590.566639
2.110000,2.977813,595.595130
2.120000,2.963767,607.579570
2.130000,2.949852,621.410247
2.140000,2.936068,632.876803
2.150000,2.922412,639.305520
2.160000,2.908882,639.816441
2.170000,2.895477,635.193811
2.180000,2.882195,627.445487
2.190000,2.869034,619.183008
2.200000,2.855993,612.975243
