q_Ainv,d_A,intensity
0.200000,31.415927,123419.674116
0.210000,29.919930,88616.333830
0.220000,28.559933,61142.726548
0.230000,27.318197,40102.723467
0.240000,26.179939,24790.318836
0.250000,25.132741,14495.362776
0.260000,24.166097,8403.627853
0.270000,23.271057,5586.858992
0.280000,22.439948,5060.286245
0.290000,21.666156,5875.554984
0.300000,20.943951,7216.340710
0.310000,20.268340,8470.422826
0.320000,19.634954,9262.873765
0.330000,19.039955,9447.075040
0.340000,18.479957,9060.658041
0.350000,17.951958,8260.240554
0.360000,17.453293,7251.197664
0.370000,16.981582,6226.987665
0.380000,16.534698,5327.908914
0.390000,16.110732,4623.181497
0.400000,15.707963,4114.517993
0.410000,15.324842,3755.107278
0.420000,14.959965,3475.856871
0.430000,14.612059,3210.883928
0.440000,14.279967,2916.160698
0.450000,13.962634,2578.138233
0.460000,13.659098,2212.238573
0.470000,13.368479,1853.591233
0.480000,13.089969,1543.832954
0.490000,12.822827,1318.052467
0.500000,12.566371,1195.203023
0.510000,12.319971,1173.889161
0.520000,12.083049,1233.810242
0.530000,11.855067,1341.728138
0.540000,11.635528,1459.913789
0.550000,11.423973,1554.743240
0.560000,11.219974,1603.417755
0.570000,11.023132,1597.506907
0.580000,10.833078,1542.923781
0.590000,10.649467,1456.801351
0.600000,10.471976,1362.364304
0.610000,10.300304,1283.179743
0.620000,10.134170,1238.113369
0.630000,9.973310,1237.981471
0.640000,9.817477,1284.388911
0.650000,9.666439,1370.710082
0.660000,9.519978,1484.719885
0.670000,9.377889,1612.095331
0.680000,9.239978,1739.920297
0.690000,9.106066,1859.426583
0.700000,8.975979,1967.449243
0.710000,8.849557,2066.397731
0.720000,8.726646,2162.875318
0.730000,8.607103,2265.353201
0.740000,8.490791,2381.475661
0.750000,8.377580,2515.614120
0.760000,8.267349,2667.201754
0.770000,8.159981,2830.190136
0.780000,8.055366,2993.717406
0.790000,7.953399,3143.816455
0.800000,7.853982,3265.775456
0.810000,7.757019,3346.636580
0.820000,7.662421,3377.308071
0.830000,7.570103,3353.871833
0.840000,7.479983,3277.868606
0.850000,7.391983,3155.589340
0.860000,7.306029,2996.635893
0.870000,7.222052,2812.179191
0.880000,7.139983,2613.396476
0.890000,7.059759,2410.495734
0.900000,6.981317,2212.551219
0.910000,6.904599,2028.124807
0.920000,6.829549,1866.398386
0.930000,6.756113,1738.359965
0.940000,6.684240,1657.523725
0.950000,6.613879,1639.745522
0.960000,6.544985,1701.907348
0.970000,6.477511,1859.538926
0.980000,6.411414,2123.749830
0.990000,6.346652,2498.082924
1.000000,6.283185,2976.004781
1.010000,6.220976,3539.687036
1.020000,6.159986,4160.510512
1.030000,6.100180,4801.387488
1.040000,6.041524,5420.621673
1.050000,5.983986,5976.696609
1.060000,5.927533,6433.177676
1.070000,5.872136,6762.878528
1.080000,5.817764,6950.587613
1.090000,5.764390,6993.940830
1.100000,5.711987,6902.395719
1.110000,5.660527,6694.627414
1.120000,5.609987,6394.947177
1.130000,5.560341,6029.482609
1.140000,5.511566,5622.831774
1.150000,5.463639,5195.727452
1.160000,5.416539,4763.971923
1.170000,5.370244,4338.596914
1.180000,5.324733,3926.939898
1.190000,5.279988,3534.164780
1.200000,5.235988,3164.722141
1.210000,5.192715,2823.338590
1.220000,5.150152,2515.312332
1.230000,5.108281,2246.118192
1.240000,5.067085,2020.529211
1.250000,5.026548,1841.591989
1.260000,4.986655,1709.819461
1.270000,4.947390,1622.886257
1.280000,4.908739,1575.954304
1.290000,4.870686,1562.565735
1.300000,4.833219,1575.869958
1.310000,4.796325,1609.848447
1.320000,4.759989,1660.192792
1.330000,4.724199,1724.581074
1.340000,4.688944,1802.261272
1.350000,4.654211,1893.044632
1.360000,4.619989,1995.985027
1.370000,4.586267,2108.125208
1.380000,4.553033,2223.697771
1.390000,4.520277,2334.072679
1.400000,4.487990,2428.565759
1.410000,4.456160,2496.006482
1.420000,4.424778,2526.762035
1.430000,4.393836,2514.778967
1.440000,4.363323,2459.169181
1.450000,4.333231,2364.944972
1.460000,4.303552,2242.682349
1.470000,4.274276,2107.123376
1.480000,4.245395,1974.963269
1.490000,4.216903,1862.251441
1.500000,4.188790,1781.924556
1.510000,4.161050,1741.962851
1.520000,4.133675,1744.524258
1.530000,4.106657,1786.195446
1.540000,4.079990,1859.254064
1.550000,4.053668,1953.617880
1.560000,4.027683,2059.013618
1.570000,4.002029,2166.863257
1.580000,3.976700,2271.465618
1.590000,3.951689,2370.228176
1.600000,3.926991,2462.937844
1.610000,3.902600,2550.297632
1.620000,3.878509,2632.144687
1.630000,3.854715,2705.861080
1.640000,3.831211,2765.468390
1.650000,3.807991,2801.761732
1.660000,3.785051,2803.614221
1.670000,3.762386,2760.314100
1.680000,3.739991,2664.539404
1.690000,3.717861,2515.383962
1.700000,3.695991,2320.766797
1.710000,3.674377,2098.607256
1.720000,3.653015,1876.327676
1.730000,3.631899,1688.525787
1.740000,3.611026,1572.991528
1.750000,3.590392,1565.566598
1.760000,3.569992,1694.598605
1.770000,3.549822,1975.874585
1.780000,3.529879,2408.901352
1.790000,3.510159,2975.229707
1.800000,3.490659,3639.220904
1.810000,3.471373,4351.275878
1.820000,3.452300,5053.154425
1.830000,3.433435,5684.670510
1.840000,3.414775,6190.820207
1.850000,3.396316,6528.320256
1.860000,3.378057,6670.621210
1.870000,3.359992,6610.694667
1.880000,3.342120,6361.238423
1.890000,3.324437,5952.338076
1.900000,3.306940,5427.002813
1.910000,3.289626,4835.295312
1.920000,3.272492,4227.954253
1.930000,3.255536,3650.438326
1.940000,3.238755,3138.204159
1.950000,3.222146,2713.792712
1.960000,3.205707,2385.984099
1.970000,3.189434,2150.944637
1.980000,3.173326,1994.988446
1.990000,3.157380,1898.356646
2.000000,3.141593,1839.311451
2.010000,3.125963,1797.860726
2.020000,3.110488,1758.559730
2.030000,3.095165,1712.050633
2.040000,3.079993,1655.254232
2.050000,3.064968,1590.374406
2.060000,3.050090,1523.070770
2.070000,3.035355,1460.266786
2.080000,3.020762,1408.074780
2.090000,3.006309,1370.240533
2.100000,2.991993,1347.360595
2.110000,2.977813,1336.940047
2.120000,2.963767,1334.176828
2.130000,2.949852,1333.217579
2.140000,2.936068,1328.555116
2.150000,2.922412,1316.239581
2.160000,2.908882,1294.647487
2.170000,2.895477,1264.674128
2.180000,2.882195,1229.354819
2.190000,2.869034,1193.046950
2.200000,2.855993,1160.390803
2.210000,2.843070,1135.296926
2.220000,2.830264,1120.179402
2.230000,2.817572,1115.579343
2.240000,2.804993,1120.222337
2.250000,2.792527,1131.452809
2.260000,2.780170,1145.910309
2.270000,2.767923,1160.273206
2.280000,2.755783,1171.899567
2.290000,2.743749,1179.237430
2.300000,2.731820,1181.943596
2.310000,2.719994,1180.723227
2.320000,2.708270,1176.964428
2.330000,2.696646,1172.279517
2.340000,2.685122,1168.072125
2.350000,2.673696,1165.228442
2.360000,2.662367,1163.990095
2.370000,2.651133,1164.017220
2.380000,2.639994,1164.605343
2.390000,2.628948,1164.988565
2.400000,2.617994,1164.649277
2.410000,2.607131,1163.561595
2.420000,2.596358,1162.317648
2.430000,2.585673,1162.116050
2.440000,2.575076,1164.622601
2.450000,2.564565,1171.737949
2.460000,2.554140,1185.321425
2.470000,2.543800,1206.922989
2.480000,2.533542,1237.567618
2.490000,2.523368,1277.621616
2.500000,2.513274,1326.752468
