q_Ainv,d_A,intensity
0.200000,31.415927,95571.168565
0.210000,29.919930,84588.120558
0.220000,28.559933,74362.802626
0.230000,27.318197,64901.133602
0.240000,26.179939,56244.009683
0.250000,25.132741,48433.385209
0.260000,24.166097,41487.693411
0.270000,23.271057,35389.072819
0.280000,22.439948,30082.231176
0.290000,21.666156,25482.625871
0.300000,20.943951,21490.285329
0.310000,20.268340,18005.168830
0.320000,19.634954,14940.402969
0.330000,19.039955,12230.825748
0.340000,18.479957,9835.703113
0.350000,17.951958,7735.922057
0.360000,17.453293,5927.117739
0.370000,16.981582,4410.863966
0.380000,16.534698,3186.174746
0.390000,16.110732,2243.180329
0.400000,15.707963,1560.103093
0.410000,15.324842,1103.771295
0.420000,14.959965,833.083085
0.430000,14.612059,704.241825
0.440000,14.279967,676.328210
0.450000,13.962634,715.871840
0.460000,13.659098,799.472614
0.470000,13.368479,914.081051
0.480000,13.089969,1055.132109
0.490000,12.822827,1223.203957
0.500000,12.566371,1420.144667
0.510000,12.319971,1645.634991
0.520000,12.083049,1894.953272
0.530000,11.855067,2158.347807
0.540000,11.635528,2422.001222
0.550000,11.423973,2670.193685
0.560000,11.219974,2888.021184
0.570000,11.023132,3063.948715
0.580000,10.833078,3191.578918
0.590000,10.649467,3270.255818
0.600000,10.471976,3304.433185
0.610000,10.300304,3302.038790
0.620000,10.134170,3272.288870
0.630000,9.973310,3223.504504
0.640000,9.817477,3161.439874
0.650000,9.666439,3088.471490
0.660000,9.519978,3003.764577
0.670000,9.377889,2904.288409
0.680000,9.239978,2786.355929
0.690000,9.106066,2647.258277
0.700000,8.975979,2486.570973
0.710000,8.849557,2306.816975
0.720000,8.726646,2113.349949
0.730000,8.607103,1913.521646
0.740000,8.490791,1715.370384
0.750000,8.377580,1526.172913
0.760000,8.267349,1351.217723
0.770000,8.159981,1193.085207
0.780000,8.055366,1051.581437
0.790000,7.953399,924.304975
0.800000,7.853982,807.672226
0.810000,7.757019,698.123484
0.820000,7.662421,593.201643
0.830000,7.570103,492.242614
0.840000,7.479983,396.525660
0.850000,7.391983,308.873528
0.860000,7.306029,232.830327
0.870000,7.222052,171.645520
0.880000,7.139983,127.332202
0.890000,7.059759,100.039332
0.900000,6.981317,87.890570
0.910000,6.904599,87.320327
0.920000,6.829549,93.812088
0.930000,6.756113,102.846121
0.940000,6.684240,110.816802
0.950000,6.613879,115.693959
0.960000,6.544985,117.272615
0.970000,6.477511,116.962343
0.980000,6.411414,117.183638
0.990000,6.346652,120.535210
1.000000,6.283185,128.949388
1.010000,6.220976,143.050738
1.020000,6.159986,161.877196
1.030000,6.100180,183.028635
1.040000,6.041524,203.198930
1.050000,5.983986,218.951694
1.060000,5.927533,227.540559
1.070000,5.872136,227.566250
1.080000,5.817764,219.306229
1.090000,5.764390,204.636636
1.100000,5.711987,186.569327
1.110000,5.660527,168.522951
1.120000,5.609987,153.512411
1.130000,5.560341,143.459726
1.140000,5.511566,138.796955
1.150000,5.463639,138.456987
1.160000,5.416539,140.249620
1.170000,5.370244,141.523164
1.180000,5.324733,139.940018
1.190000,5.279988,134.166344
1.200000,5.235988,124.297924
1.210000,5.192715,111.911134
1.220000,5.150152,99.723029
1.230000,5.108281,90.943970
1.240000,5.067085,88.485231
1.250000,5.026548,94.222564
1.260000,4.986655,108.504937
1.270000,4.947390,130.037940
1.280000,4.908739,156.178219
1.290000,4.870686,183.571700
1.300000,4.833219,208.979961
1.310000,4.796325,230.088468
1.320000,4.759989,246.090630
1.330000,4.724199,257.893768
1.340000,4.688944,267.885077
1.350000,4.654211,279.305410
1.360000,4.619989,295.379283
1.370000,4.586267,318.415569
1.380000,4.553033,349.107562
1.390000,4.520277,386.218528
1.400000,4.487990,426.748258
1.410000,4.456160,466.558689
1.420000,4.424778,501.320349
1.430000,4.393836,527.555236
1.440000,4.363323,543.517972
1.450000,4.333231,549.686098
1.460000,4.303552,548.717483
1.470000,4.274276,544.859020
1.480000,4.245395,542.926785
1.490000,4.216903,547.090815
1.500000,4.188790,559.758861
1.510000,4.161050,580.845547
1.520000,4.133675,607.634626
1.530000,4.106657,635.307887
1.540000,4.079990,658.054057
1.550000,4.053668,670.521928
1.560000,4.027683,669.280249
1.570000,4.002029,653.920014
1.580000,3.976700,627.493678
1.590000,3.951689,596.122350
1.600000,3.926991,567.789240
1.610000,3.902600,550.535516
1.620000,3.878509,550.438045
1.630000,3.854715,569.837336
1.640000,3.831211,606.272677
1.650000,3.807991,652.464973
1.660000,3.785051,697.484447
1.670000,3.762386,728.988441
1.680000,3.739991,736.165386
1.690000,3.717861,712.828510
1.700000,3.695991,660.011948
1.710000,3.674377,587.458736
1.720000,3.653015,513.555722
1.730000,3.631899,463.538985
1.740000,3.611026,466.117088
1.750000,3.590392,548.976921
1.760000,3.569992,733.885245
1.770000,3.549822,1032.226486
1.780000,3.529879,1441.794034
1.790000,3.510159,1945.476535
1.800000,3.490659,2512.180161
1.810000,3.471373,3099.954858
1.820000,3.452300,3660.914052
1.830000,3.433435,4147.222518
1.840000,3.414775,4517.234033
1.850000,3.396316,4740.825031
1.860000,3.378057,4803.099477
1.870000,3.359992,4705.910287
1.880000,3.342120,4467.004739
1.890000,3.324437,4116.990220
1.900000,3.306940,3694.663287
1.910000,3.289626,3241.489511
1.920000,3.272492,2796.123925
1.930000,3.255536,2389.809279
1.940000,3.238755,2043.297045
1.950000,3.222146,1765.644517
1.960000,3.205707,1554.906633
1.970000,3.189434,1400.425002
1.980000,3.173326,1286.173892
1.990000,3.157380,1194.492338
2.000000,3.141593,1109.528727
2.010000,3.125963,1019.840722
2.020000,3.110488,919.799018
2.030000,3.095165,809.693816
2.040000,3.079993,694.688356
2.050000,3.064968,582.959452
2.060000,3.050090,483.478525
2.070000,3.035355,403.904134
2.080000,3.020762,348.983745
2.090000,3.006309,319.720870
2.100000,2.991993,313.387213
2.110000,2.977813,324.285569
2.120000,2.963767,345.031579
2.130000,2.949852,368.044471
2.140000,2.936068,386.928297
2.150000,2.922412,397.480789
2.160000,2.908882,398.169387
2.170000,2.895477,390.038065
2.180000,2.882195,376.126966
2.190000,2.869034,360.576203
