unit_count,ensemble_type,sample_count,radius_of_gyration_A_mean,compactness_score_mean,contact_fraction_vs_target_mean,CYP_MEP_contact_fraction_vs_target_mean,axial_register_score_mean,angular_phase_order_score_mean,refined_angular_phase_score_mean,RMSD_to_formed_seed_A_mean,seed_formation_score_mean
4,angular_randomized_loose_initial,25,21.105333,0.541583,0.005543,0.005173,0.398654,0.557770,0.697731,21.307050,0.340404
4,formed_perturbed,25,11.439863,0.995118,0.793333,0.798738,0.895367,0.972111,0.998315,0.573906,0.910639
4,loose_initial,25,21.671447,0.526857,0.061357,0.057750,0.441649,0.987583,0.999720,14.348601,0.455270
4,radially_separated,25,32.291412,0.353600,0.030814,0.024564,0.796230,0.993149,0.999917,25.241294,0.467889
5,angular_randomized_loose_initial,25,21.088768,0.560392,0.007106,0.007360,0.386475,0.502304,0.708565,20.189228,0.332223
5,formed_perturbed,25,11.796790,0.996445,0.819225,0.826582,0.886554,0.953763,0.993363,0.589994,0.910136
5,loose_initial,25,21.715317,0.543957,0.024160,0.025025,0.437889,0.985744,0.999602,14.713350,0.449243
5,radially_separated,25,30.976411,0.381184,0.004186,0.004586,0.786446,0.992597,0.999893,24.119836,0.467297
6,angular_randomized_loose_initial,25,20.439705,0.599381,0.007149,0.006878,0.400017,0.518787,0.740815,19.125995,0.348098
6,formed_perturbed,25,12.223679,0.997591,0.795218,0.799153,0.887050,0.956977,0.996384,0.626858,0.905155
6,loose_initial,25,21.682348,0.564463,0.036000,0.034268,0.425172,0.987646,0.999681,15.361131,0.451956
6,radially_separated,25,31.188130,0.392882,0.021287,0.017944,0.799951,0.992507,0.999891,24.814463,0.474992
7,angular_randomized_loose_initial,25,20.524531,0.621889,0.006649,0.006792,0.422636,0.533135,0.706261,20.679324,0.356862
7,formed_perturbed,25,12.743428,0.997717,0.798085,0.804489,0.891557,0.943002,0.992923,0.647366,0.903184
7,loose_initial,25,21.196475,0.602316,0.015124,0.015191,0.415181,0.987526,0.999658,15.027804,0.454145
7,radially_separated,25,31.172982,0.408932,0.000000,0.000000,0.799747,0.992434,0.999906,25.132770,0.473464
8,angular_randomized_loose_initial,25,20.380517,0.653276,0.009101,0.009172,0.421266,0.589132,0.697257,19.505525,0.376101
8,formed_perturbed,25,13.285919,0.997990,0.801225,0.806197,0.890328,0.942765,0.993008,0.650411,0.903487
8,loose_initial,25,21.168969,0.627931,0.028366,0.027552,0.414502,0.984592,0.999548,15.580542,0.459739
8,radially_separated,25,30.895235,0.430396,0.002092,0.001363,0.791940,0.992578,0.999905,25.276819,0.476503
