bin_index,q_Ainv,d_A,mean_intensity,intensity_norm,pixel_count
0,0.00403403372418,1557.54407047,16117200,1.73568013506,1
4,0.0363060339248,173.061737346,15474169.1777,1.66643139306,4
6,0.0524416206609,119.81295063,14832651.2653,1.5973455781,4
9,0.0766440797421,81.9787428895,13865589.3884,1.49320155252,4
10,0.0847112486321,74.1717942852,13228223.4795,1.42456287168,8
13,0.108911551431,57.6907153065,11825464.8048,1.27349814792,8
14,0.116977857885,53.7126035712,11384390.1508,1.2259983021,8
16,0.133109671368,47.2030712917,9807084.05506,1.05613636222,8
18,0.149240299319,42.1011304308,10552999.1198,1.13646482872,4
19,0.157305123874,39.9426614495,9285812.33054,1,12
20,0.165369598238,37.9948029997,8369284.11203,0.901298003246,8
23,0.189560740935,33.1460263143,8189220.83768,0.881906778447,20
24,0.197623635311,31.7936935898,7513010.17904,0.809084861034,8
26,0.21374808683,29.3952820835,5194504.49307,0.559402269631,4
27,0.221809608176,28.3269302843,6893184.3541,0.742335092368,12
28,0.229870636058,27.3335708072,8564288.67312,0.922298272706,8
29,0.237931152593,26.4075773126,5715267.14907,0.61548380967,16
31,0.254050580123,24.7320250327,5313185.79301,0.572183197752,8
32,0.262109455385,23.9716087234,7187373.7652,0.774016694432,16
33,0.270167747835,23.2566076356,5329822.74917,0.573974851037,16
35,0.286282512914,21.9474994935,4990367.07072,0.537418471652,8
36,0.294338949869,21.3467681052,3186276.20394,0.34313381431,8
37,0.302394732666,20.7780911122,6259484.23841,0.67409118509,20
38,0.310449843489,20.2389707676,6329354.16875,0.681615559678,8
39,0.318504264529,19.727162261,3583007.39803,0.385858261022,20
41,0.334610966076,18.7775833556,4901064.76876,0.527801402214,12
42,0.342663211012,18.336328807,5301415.05214,0.570915592888,24
43,0.350714695025,17.9153750792,2614723.56012,0.281582641027,8
44,0.358765400354,17.5133535759,4342278.07899,0.467625009469,8
45,0.366815309246,17.1290160165,2801281.94637,0.301673332031,12
46,0.37486440396,16.7612214999,5258440.9063,0.566287656816,20
47,0.382912666764,16.4089252003,4016378.01316,0.432528449876,16
48,0.390960079939,16.0711684634,4091844.66528,0.440655541985,8
49,0.399006625774,15.7470701019,2421729.02497,0.260798833614,16
50,0.407052286571,15.4358187252,1986454.32974,0.213923592146,8
51,0.415097044641,15.1366659635,5164882.37551,0.556212229115,28
52,0.423140882309,14.8489204657,2601199.59305,0.280126229183,20
54,0.439225725792,14.3051395631,2247146.53189,0.241997840566,16
55,0.447266696314,14.0479614489,4624448.34132,0.498012255332,20
56,0.455306675848,13.7998971693,2929520.14667,0.315483453939,24
57,0.463345646778,13.5604712181,3715309.51285,0.400106030641,8
58,0.471383591502,13.3292406025,2110296.71276,0.227260323345,16
59,0.479420492429,13.1057921103,1303701.65047,0.140397156874,12
60,0.487456331983,12.8897398493,3703667.36772,0.398852274404,28
61,0.495491092601,12.6807230261,4253957.6124,0.458113675032,16
62,0.503524756734,12.4784039377,1331191.90221,0.143357614264,16
63,0.511557306845,12.282466154,1806450.52917,0.194538772147,16
64,0.519588725413,12.0926128684,2532924.2759,0.272773580354,20
65,0.527618994931,11.9085653996,3485584.3749,0.375366661615,28
66,0.535648097905,11.7300618293,1970289.18183,0.212182748444,24
67,0.543676016858,11.5568557603,2266145.09097,0.244043817634,8
68,0.551702734327,11.3887151834,1244461.92493,0.134017561483,24
69,0.559728232864,11.2254214425,3889948.72888,0.418913132252,20
70,0.567752495035,11.0667682875,2525521.6893,0.271976387138,32
72,0.583797240629,10.7626156307,1270794.22238,0.136853317421,28
73,0.591817689266,10.616758203,1194221.66033,0.128607128576,16
74,0.599836831965,10.4748241061,3330596.29211,0.358675813548,36
75,0.607854651373,10.3366574443,1869041.42061,0.201279258516,16
76,0.615871130155,10.2021104733,1277380.60566,0.137562612747,24
77,0.623886250991,10.0710430743,1124258.46564,0.121072710241,16
78,0.63189999658,9.94332226806,2005192.17409,0.215941492539,16
79,0.639912349636,9.81882176638,2360952.74611,0.254253764998,40
80,0.647923292892,9.69742155609,2919668.64182,0.314422533849,8
81,0.655932809098,9.57900751423,1237235.05708,0.133239291624,24
82,0.663940881022,9.46347105107,834704.847901,0.0898903421897,24
83,0.671947491452,9.35070877875,2274781.17981,0.24497384815,36
84,0.679952623191,9.24062220349,3357889.19533,0.361615018246,16
85,0.687956259062,9.1331174394,944227.48397,0.101684963077,36
86,0.695958381907,9.02810494208,933762.392886,0.100557965167,16
87,0.703958974588,8.9254992606,682858.4831,0.0735378294104,16
88,0.711958019983,8.8252188062,2779050.01732,0.299279149567,36
89,0.719955500993,8.7271856365,1168332.35643,0.125819079133,32
90,0.727951400535,8.63132525408,1134909.61639,0.122219745133,16
91,0.735945701548,8.53756641823,798881.588704,0.0860324934714,28
92,0.743938386991,8.4458409689,1937637.99712,0.20866650414,36
93,0.751929439841,8.35608366193,1611198.8652,0.173511891889,40
94,0.759918843099,8.26823201483,1718414.11779,0.185058027949,8
95,0.767906579782,8.18222616215,638600.321214,0.0687716161476,40
96,0.775892632932,8.09800871988,721879.553648,0.0777400541765,16
97,0.783876985609,8.01552465824,2416937.33102,0.260282810484,36
98,0.791859620896,7.93472118211,1064118.18386,0.114596132894,28
99,0.799840521896,7.85554761878,804340.780093,0.0866204001828,32
100,0.807819671733,7.77795531235,803581.594998,0.0865386426511,16
101,0.815797053555,7.70189752439,576671.459693,0.0621024245554,32
102,0.82377265053,7.62732934036,2315201.85945,0.249326798457,36
103,0.83174644585,7.55420758157,1163878.44714,0.125339432428,32
104,0.839718422726,7.48249072205,761680.62307,0.0820262779342,24
105,0.847688564395,7.41213881028,458733.426614,0.049401539713,36
106,0.855656854115,7.34311339524,1888229.43885,0.203345638662,28
107,0.863623275167,7.27537745664,1617280.72859,0.174166854878,32
108,0.871587810855,7.20889533897,612913.326243,0.0660053535895,40
109,0.879550444507,7.1436326892,700829.871968,0.0754731893152,16
110,0.887511159473,7.07955639782,576436.560899,0.0620771280294,32
111,0.895469939128,7.01663454308,1854748.77848,0.199740067154,40
112,0.903426766871,6.95483633825,911954.752967,0.0982094748963,40
113,0.911381626124,6.89413208153,691413.33608,0.0744591115423,24
114,0.919334500334,6.83449310877,499285.338692,0.0537686225953,40
115,0.927285372971,6.77589174846,209264.201619,0.0225359068404,8
116,0.935234227531,6.71830127921,1520103.38389,0.16370171287,60
117,0.943181047535,6.66169588925,779961.970138,0.0839950176005,24
118,0.951125816527,6.6060506381,450729.075692,0.0485395417921,52
119,0.959068518079,6.55134142007,577955.934439,0.0622407511444,16
120,0.967009135786,6.49754492968,1398995.20442,0.150659431251,36
121,0.97494765327,6.44463862865,924290.555792,0.099537931943,48
122,0.982884054177,6.39260071468,667299.101929,0.071862221438,40
123,0.99081832218,6.34141009157,575335.869227,0.0619585932546,24
124,0.998750440978,6.29104634089,410387.239561,0.0441950822343,44
125,1.0066803943,6.24148969502,1900598.19183,0.204677644149,28
126,1.01460816589,6.19272101136,767667.803524,0.0826710444061,48
127,1.02253373952,6.14472174786,606722.582312,0.0653386651286,24
128,1.03045709902,6.09747393964,383353.284234,0.0412837639388,40
129,1.0383782282,6.0509601767,807827.93208,0.0869959356623,28
130,1.04629711092,6.00516358268,1228339.21409,0.132281287879,48
131,1.05421373108,5.96006779456,498589.755903,0.0536937144705,52
132,1.06212807258,5.91565694326,468880.095621,0.0504942463762,40
133,1.07004011937,5.87191563519,495971.619885,0.0534117643379,24
134,1.07794985541,5.82882893454,1108867.98701,0.119415291581,44
135,1.0858572647,5.78638234641,679783.121446,0.0732066401139,48
136,1.09376233127,5.74456180063,555796.252351,0.0598543490399,24
137,1.10166503917,5.70335363635,388226.998114,0.0418086198919,52
138,1.10956537248,5.66274458722,444941.040471,0.0479162215036,16
139,1.11746331532,5.62272176729,960922.881023,0.10348290993,68
140,1.12535885181,5.58327265748,597134.558774,0.0643061196499,24
141,1.13325196614,5.54438509256,418878.25192,0.045109489295,56
142,1.1411426425,5.50604724878,394778.264288,0.0425141334151,32
143,1.14903086511,5.46824763197,886755.616196,0.0954957503589,36
144,1.15691661823,5.43097506613,625973.888478,0.0674118608255,52
145,1.16479988614,5.39421868247,495044.694869,0.0533119426979,56
146,1.17268065317,5.35796790897,473234.046619,0.0509631284559,24
147,1.18055890366,5.32221246029,335539.864601,0.0361346808074,40
148,1.18843462198,5.28694232813,842200.435151,0.0906975507551,52
149,1.19630779255,5.25214777195,529717.029594,0.0570458470125,56
150,1.20417839978,5.21781931009,423256.42837,0.0455809802422,20
151,1.21204642816,5.18394771122,365870.843802,0.0394010594634,48
152,1.21991186219,5.15052398615,373929.687816,0.0402689258092,32
153,1.22777468638,5.11753937989,797662.222729,0.0859011785222,60
154,1.2356348853,5.08498536414,433204.046145,0.0466522508452,56
155,1.24349244355,5.05285362994,341585.499306,0.0367857422859,56
156,1.25134734573,5.02113608073,606292.446487,0.0652923432981,8
157,1.25919957652,4.98982482551,518844.931177,0.0558750180068,64
158,1.26704912058,4.95891217247,538975.130653,0.0580428627532,64
159,1.27489596265,4.92839062265,383298.889886,0.0412779061478,24
160,1.28274008747,4.89825286398,347528.269783,0.0374257261952,48
161,1.29058147981,4.8684917655,328188.684367,0.0353430236026,40
162,1.29842012451,4.83910037175,608240.18449,0.0655020974837,60
163,1.30625600639,4.81007189743,506626.217232,0.0545591703987,40
164,1.31408911034,4.78139972223,346866.184347,0.0373544254396,68
165,1.32191942128,4.75307738584,383744.378112,0.0413258812964,24
166,1.32974692414,4.72509858314,306255.22602,0.0329809837975,40
167,1.3375716039,4.69745715956,560724.696882,0.0603850990008,68
168,1.34539344558,4.67014710665,353098.413535,0.0380255814964,72
169,1.35321243422,4.64316255771,370489.534445,0.0398984516655,16
170,1.36102855489,4.6164977837,316359.834034,0.0340691608631,52
171,1.3688417927,4.59014718917,495181.980544,0.0533267271529,60
172,1.37665213281,4.56410530841,390973.371615,0.042104380069,56
173,1.38445956038,4.53836680174,373378.895649,0.0402096103559,48
174,1.39226406063,4.51292645184,300472.465361,0.0323582315327,56
175,1.40006561882,4.4877791603,277136.524282,0.0298451567205,24
176,1.40786422021,4.46291994427,474925.216195,0.0511452524873,76
177,1.41565985012,4.43834393315,324407.835668,0.0349358595803,60
178,1.4234524939,4.4140463655,301175.151072,0.0324339045795,32
179,1.43124213694,4.39002258597,319508.780513,0.0344082745957,40
180,1.43902876466,4.36626804236,290803.745064,0.0313169957256,68
181,1.44681236251,4.34277828279,429922.138794,0.0462988184006,72
182,1.45459291598,4.31954895296,325491.446433,0.0350525548921,40
183,1.46237041058,4.29657579345,318827.936831,0.0343349537426,52
184,1.4701448319,4.27385463722,253367.761728,0.027285470857,56
185,1.4779161655,4.25138140703,421118.700172,0.04535076579,52
186,1.48568439704,4.22915211312,372354.483459,0.040099290208,48
187,1.49344951217,4.20716285082,257289.982633,0.0277078594177,72
188,1.5012114966,4.1854097983,297567.079507,0.032045347129,40
189,1.50897033606,4.16388921441,293773.359951,0.031636797029,40
190,1.51672601633,4.14259743655,346124.918193,0.0372745976197,80
191,1.52447852321,4.1215308786,304780.761328,0.0328221969688,56
192,1.53222784256,4.10068602896,330126.732522,0.0355517342771,32
193,1.53997396026,4.08005944862,258602.604175,0.027849217168,80
194,1.54771686222,4.05964776927,302333.8052,0.0325586813989,44
195,1.55545653441,4.03944769152,322209.93019,0.0346991645664,80
196,1.56319296281,4.01945598315,290541.805239,0.0312887871192,52
197,1.57092613345,3.99966947737,219369.289473,0.0236241355806,48
198,1.57865603241,3.98008507122,277820.375902,0.029918801502,40
199,1.58638264578,3.96069972393,316881.614879,0.0341253520531,76
200,1.59410595971,3.94151045539,264260.985264,0.0284585748513,64
