bin_index,q_Ainv,d_A,mean_intensity,intensity_norm,pixel_count
0,0.00403403,1557.54407047,7868563892.98,14.705725928,1
4,0.03630603,173.06173735,6489840851.23,12.1290011967,4
6,0.05244162,119.81295063,5279004524.29,9.86604350716,4
9,0.07664408,81.97874289,3768898255.03,7.04377387574,4
10,0.08471125,74.17179429,2926647853.48,5.4696742387,8
13,0.10891155,57.69071531,1609694141.19,3.00839151721,8
14,0.11697786,53.71260357,1364126958.1,2.549445801,8
16,0.13310967,47.20307129,464129790.551,0.867422008349,8
18,0.14924030,42.10113043,1050865303.68,1.96398445173,4
19,0.15730512,39.94266145,535068036.185,1,12
20,0.16536960,37.99480300,304732969.226,0.56952190865,8
23,0.18956074,33.14602631,291568020.685,0.544917657134,20
24,0.19762364,31.79369359,205348491.066,0.383780149773,8
26,0.21374809,29.39528208,52219875.8828,0.0975948334628,4
27,0.22180961,28.32693028,89648049.9565,0.167545141727,12
28,0.22987064,27.33357081,84883959.119,0.158641431329,8
29,0.23793115,26.40757731,46725990.9474,0.0873271953983,16
31,0.25405058,24.73202503,15473882.4605,0.0289194670847,8
32,0.26210946,23.97160872,19635403.8912,0.0366970227398,16
33,0.27016775,23.25660764,10955594.5818,0.0204751430489,16
35,0.28628251,21.94749949,7088887.45905,0.0132485721061,8
36,0.29433895,21.34676811,8276477.44448,0.015468084215,8
37,0.30239473,20.77809111,38325045.5385,0.0716264903651,20
38,0.31044984,20.23897077,43992245.0128,0.0822180396467,8
39,0.31850426,19.72716226,13290083.2482,0.024838118425,20
41,0.33461097,18.77758336,26366929.2272,0.0492777131954,12
42,0.34266321,18.33632881,20756179.4546,0.0387916639585,24
43,0.35071470,17.91537508,8580931.79609,0.0160370854093,8
44,0.35876540,17.51335358,12940030.1957,0.0241838968516,8
45,0.36681531,17.12901602,6641903.23886,0.0124131938178,12
46,0.37486440,16.76122150,10992157.5632,0.0205434763802,20
47,0.38291267,16.40892520,5190462.79547,0.00970056599246,16
48,0.39096008,16.07116846,1039903.49651,0.00194349769782,8
49,0.39900663,15.74707010,2401326.19181,0.00448788944473,16
