model_id,twist_deg,rise_A,model_status,coordinate_file,diffraction_status,diffraction_file,score_status,notes,pilot_selection,pilot_notes,pnab_work_dir,base_rmsd,helical_rmsd,combined_rmsd
twist28p0_rise3p350,28.000,3.350,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist28p0_rise3p350.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist28p0_rise3p350,,,
twist29p0_rise3p350,29.000,3.350,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist29p0_rise3p350.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist29p0_rise3p350,,,
twist30p0_rise3p350,30.000,3.350,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist30p0_rise3p350.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist30p0_rise3p350,,,
twist31p0_rise3p350,31.000,3.350,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist31p0_rise3p350.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist31p0_rise3p350,,,
twist32p0_rise3p350,32.000,3.350,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist32p0_rise3p350.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist32p0_rise3p350,,,
twist28p0_rise3p400,28.000,3.400,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist28p0_rise3p400.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist28p0_rise3p400,,,
twist29p0_rise3p400,29.000,3.400,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist29p0_rise3p400.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist29p0_rise3p400,,,
twist30p0_rise3p400,30.000,3.400,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist30p0_rise3p400.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist30p0_rise3p400,,,
twist31p0_rise3p400,31.000,3.400,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist31p0_rise3p400.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist31p0_rise3p400,,,
twist32p0_rise3p400,32.000,3.400,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist32p0_rise3p400.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist32p0_rise3p400,,,
twist28p0_rise3p450,28.000,3.450,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist28p0_rise3p450.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist28p0_rise3p450,,,
twist29p0_rise3p450,29.000,3.450,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist29p0_rise3p450.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist29p0_rise3p450,,,
twist30p0_rise3p450,30.000,3.450,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist30p0_rise3p450.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist30p0_rise3p450,,,
twist31p0_rise3p450,31.000,3.450,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist31p0_rise3p450.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist31p0_rise3p450,,,
twist32p0_rise3p450,32.000,3.450,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist32p0_rise3p450.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist32p0_rise3p450,,,
twist28p0_rise3p500,28.000,3.500,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist28p0_rise3p500.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist28p0_rise3p500,,,
twist29p0_rise3p500,29.000,3.500,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist29p0_rise3p500.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist29p0_rise3p500,,,
twist30p0_rise3p500,30.000,3.500,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist30p0_rise3p500.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist30p0_rise3p500,,,
twist31p0_rise3p500,31.000,3.500,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist31p0_rise3p500.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist31p0_rise3p500,,,
twist32p0_rise3p500,32.000,3.500,dry_run,outputs\twist_rise_scan\pilot_coordinates\twist32p0_rise3p500.pdb,pending,,pending,pNAB coordinate generation dry run,true,twist/rise pilot grid,outputs\twist_rise_scan\pilot_pnab_work\twist32p0_rise3p500,,,
